object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of random class 1,Probability of random class 2,Radii of the object_0,Radii of the object_1,Radii of the object_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2
0,0,1,0,random class 1,0.56,0.44,1.8145516,1.205631,0.94429183,0.95596385,0.20495482,0.21006346,0.14600863,-0.9530228,0.26538473,0.25458714,-0.22302714,-0.9409805,73.0,26.0,0.0,0.0,33.0,6.0,4.0,29.013699,3.5479453,1.2191781
1,0,2,0,random class 1,0.58,0.42,2.638983,1.8980159,1.257668,0.21230312,0.57967186,-0.78670704,-0.10370342,0.8138779,0.57170653,0.97168565,-0.039790872,0.23290277,272.0,49.0,0.0,0.0,56.0,7.0,11.0,52.606617,2.2904413,4.1433825
2,0,3,0,random class 1,0.73,0.27,1.8045967,1.2420291,0.7228914,0.27186614,0.9575337,0.096010044,-0.1329857,0.1361925,-0.98171604,0.9531021,-0.25412738,-0.16436441,64.0,59.0,0.0,0.0,65.0,4.0,7.0,62.109375,0.6875,2.078125
3,0,4,0,random class 1,0.84,0.16,1.5171547,1.139107,0.7344116,0.73524755,0.666003,-0.125901,-0.19171967,0.026185926,-0.9811003,0.6501189,-0.7454893,-0.14693901,52.0,90.0,0.0,0.0,96.0,3.0,6.0,92.30769,0.8269231,1.4230769
4,0,5,0,random class 1,0.5,0.5,3.4048398,1.2612603,0.84201926,-0.14492324,-0.9622576,0.2303421,-0.1270774,0.24897335,0.9601373,0.9812485,-0.109874934,0.15836322,149.0,132.0,0.0,0.0,139.0,5.0,13.0,135.19463,0.98657715,5.09396
5,0,6,0,random class 1,0.58,0.42,1.799071,1.431196,0.6304528,-0.037322998,0.19161807,-0.9807597,-0.97150105,0.22293735,0.08052753,0.23407848,0.95581454,0.17783646,70.0,147.0,0.0,0.0,150.0,7.0,6.0,148.37143,2.5714285,1.7142857
6,0,7,0,random class 2,0.49,0.51,4.5608454,1.0740206,0.84007007,-0.13999417,-0.5934556,-0.7925983,-0.25983348,-0.75040925,0.60776025,0.95545185,-0.29102647,0.049146727,167.0,121.0,0.0,0.0,126.0,7.0,16.0,122.82635,2.3233533,6.311377
7,0,8,0,random class 1,0.57,0.43,2.6650367,1.6958567,0.65927815,-0.120460995,0.93907255,0.321919,0.21306106,-0.2922669,0.9323009,0.9695845,0.1808943,-0.16487303,82.0,109.0,3.0,0.0,116.0,8.0,10.0,111.67073,4.9268293,3.5609756
8,0,9,0,random class 2,0.48,0.52,4.9217067,1.3192643,1.2178415,-0.022328222,-0.2891599,-0.9570204,-0.24970944,-0.9253054,0.2854033,0.96806335,-0.24534957,0.051545534,297.0,67.0,0.0,0.0,73.0,8.0,20.0,69.3165,3.7542088,8.420876
9,0,10,0,random class 1,0.6,0.4,2.2625856,1.5129838,1.1669098,0.17129156,0.9823963,0.074543335,0.984457,-0.17364606,0.026294198,0.038775478,0.06888074,-0.99687105,180.0,40.0,5.0,0.0,46.0,14.0,5.0,42.572224,8.955556,1.4777777
10,0,11,0,random class 1,0.7,0.3,1.4154048,1.1214639,0.82133967,0.667374,0.08201681,-0.74019265,-0.44215038,-0.7561465,-0.4824371,0.599262,-0.64924246,0.46836874,52.0,83.0,7.0,0.0,88.0,12.0,5.0,85.63461,9.038462,1.2115384
11,0,12,0,random class 1,0.5,0.5,1.6445308,1.2560166,0.557464,0.12589927,0.24941681,0.9601774,0.22107764,-0.95059305,0.21793929,0.9670957,0.18483536,-0.17481945,52.0,101.0,7.0,0.0,104.0,13.0,6.0,101.73077,9.346154,2.4423077
12,0,13,0,random class 1,0.5,0.5,4.9660645,1.3413873,1.1735715,-0.1339958,0.9896874,-0.050635986,-0.25082988,0.015561207,0.9679061,0.9587124,0.14239636,0.24615803,316.0,127.0,5.0,0.0,134.0,12.0,17.0,130.0981,7.924051,7.787975
13,0,14,0,random class 2,0.49,0.51,4.702424,1.3046585,1.0559089,0.21076162,0.7384045,-0.64057654,-0.36473274,0.66737527,0.6492921,0.90694517,0.09679337,0.4099774,278.0,140.0,2.0,0.0,147.0,11.0,17.0,142.92087,6.532374,7.158273
14,0,15,0,random class 2,0.34,0.66,4.2180686,2.524106,1.329462,0.43752345,-0.5601477,-0.70342577,0.30313358,-0.6446032,0.7018524,0.8465715,0.52030885,0.11222943,547.0,9.0,5.0,0.0,19.0,15.0,17.0,13.634369,9.648994,7.3638024
15,0,16,0,random class 2,0.47,0.53,3.3704488,2.385249,0.58013123,0.15136921,0.05278873,-0.98706675,-0.50485706,-0.85437834,-0.12311363,0.84982747,-0.51696324,0.10267582,156.0,94.0,6.0,0.0,99.0,16.0,11.0,95.80769,10.564102,4.6474357
16,0,17,0,random class 1,0.65,0.35,3.9105148,1.534129,1.1535139,0.3053711,-0.8977707,0.31742132,-0.1668791,-0.37864068,-0.910375,0.9374966,0.22503124,-0.26544508,250.0,57.0,8.0,0.0,65.0,15.0,14.0,61.176,11.044,5.896
17,0,18,0,random class 1,0.58,0.42,2.4516375,1.4656678,1.0970584,-0.19575217,0.05701792,-0.9789944,-0.31994224,-0.9473962,0.008795581,0.9269941,-0.3149434,-0.20369731,157.0,120.0,11.0,0.0,125.0,18.0,10.0,121.828026,13.305733,2.866242
